Object[11454], Relative count = 1, Enemy count = 342
Object[1035], Relative count = 1, Enemy count = 2
Object[13565], Relative count = 1, Enemy count = 4
Object[706], Relative count = 2, Enemy count = 3
Object[13449], Relative count = 1, Enemy count = 4
Object[1990], Relative count = 2, Enemy count = 14
Object[10021], Relative count = 1, Enemy count = 3
Object[13271], Relative count = 1, Enemy count = 2
Object[1168], Relative count = 1, Enemy count = 2
Object[5511], Relative count = 1, Enemy count = 3
Object[13357], Relative count = 1, Enemy count = 3
Object[7611], Relative count = 1, Enemy count = 4
Object[13460], Relative count = 2, Enemy count = 5
Object[13439], Relative count = 2, Enemy count = 3
Object[3917], Relative count = 1, Enemy count = 2
Object[7544], Relative count = 1, Enemy count = 2
Object[13351], Relative count = 1, Enemy count = 5
Object[7509], Relative count = 1, Enemy count = 2
Object[13490], Relative count = 1, Enemy count = 7
Object[13508], Relative count = 1, Enemy count = 4
Object[13541], Relative count = 1, Enemy count = 2
Object[7589], Relative count = 1, Enemy count = 5
Object[7581], Relative count = 1, Enemy count = 8
Object[7574], Relative count = 1, Enemy count = 14
Object[412], Relative count = 1, Enemy count = 2
Object[7862], Relative count = 1, Enemy count = 2
Object[839], Relative count = 1, Enemy count = 6
Object[2083], Relative count = 1, Enemy count = 7
Object[13447], Relative count = 1, Enemy count = 2
Object[7657], Relative count = 1, Enemy count = 5
Object[13332], Relative count = 1, Enemy count = 3
Object[7597], Relative count = 1, Enemy count = 6
Object[7601], Relative count = 1, Enemy count = 8
Object[2028], Relative count = 1, Enemy count = 2
Object[13477], Relative count = 2, Enemy count = 4
Object[7737], Relative count = 1, Enemy count = 4
Object[13448], Relative count = 1, Enemy count = 4
Object[2032], Relative count = 1, Enemy count = 2
Object[1999], Relative count = 1, Enemy count = 3
Object[5527], Relative count = 1, Enemy count = 3
Object[13546], Relative count = 2, Enemy count = 3
Object[13479], Relative count = 1, Enemy count = 5
Object[13474], Relative count = 1, Enemy count = 3
Object[13430], Relative count = 1, Enemy count = 2
Object[13411], Relative count = 1, Enemy count = 2
Object[13535], Relative count = 1, Enemy count = 4
Object[7598], Relative count = 1, Enemy count = 3
Object[1338], Relative count = 1, Enemy count = 2
Object[13274], Relative count = 1, Enemy count = 2
Object[13309], Relative count = 1, Enemy count = 3
Object[1303], Relative count = 1, Enemy count = 2
Object[13435], Relative count = 1, Enemy count = 5
Object[7771], Relative count = 2, Enemy count = 5
Object[2201], Relative count = 1, Enemy count = 2
Object[8049], Relative count = 1, Enemy count = 4
Object[13306], Relative count = 1, Enemy count = 2
Object[2192], Relative count = 1, Enemy count = 2
Object[13555], Relative count = 1, Enemy count = 3
Object[7703], Relative count = 1, Enemy count = 2
Object[13485], Relative count = 1, Enemy count = 4
Object[7615], Relative count = 1, Enemy count = 3
Object[13494], Relative count = 1, Enemy count = 2
Object[13602], Relative count = 1, Enemy count = 4
Object[8077], Relative count = 1, Enemy count = 3
Object[13531], Relative count = 1, Enemy count = 3
Object[13513], Relative count = 1, Enemy count = 6
Object[7714], Relative count = 1, Enemy count = 4
Object[1147], Relative count = 1, Enemy count = 2
Object[6521], Relative count = 3, Enemy count = 4
Object[6654], Relative count = 1, Enemy count = 2
Object[13542], Relative count = 1, Enemy count = 2
Object[7770], Relative count = 1, Enemy count = 4
Object[13323], Relative count = 1, Enemy count = 3
Object[7607], Relative count = 1, Enemy count = 6
Object[7728], Relative count = 1, Enemy count = 7
Object[7578], Relative count = 1, Enemy count = 2
Object[7593], Relative count = 1, Enemy count = 3
Object[8311], Relative count = 1, Enemy count = 2
Object[7748], Relative count = 1, Enemy count = 4
Object[7651], Relative count = 1, Enemy count = 2
Object[7850], Relative count = 1, Enemy count = 3
Object[7779], Relative count = 1, Enemy count = 3
Object[1388], Relative count = 1, Enemy count = 4
Object[1447], Relative count = 1, Enemy count = 2
Object[7784], Relative count = 1, Enemy count = 3
Object[7750], Relative count = 1, Enemy count = 2
Object[7662], Relative count = 1, Enemy count = 3
Object[7695], Relative count = 1, Enemy count = 2
Object[7978], Relative count = 1, Enemy count = 2
Object[7663], Relative count = 1, Enemy count = 2
Object[7731], Relative count = 1, Enemy count = 2
Object[7502], Relative count = 1, Enemy count = 2
Object[7669], Relative count = 2, Enemy count = 3
Object[7698], Relative count = 1, Enemy count = 2
Object[368], Relative count = 1, Enemy count = 2
Object[7729], Relative count = 1, Enemy count = 2
Object[1315], Relative count = 1, Enemy count = 2
Object[7990], Relative count = 1, Enemy count = 2
Object[6427], Relative count = 2, Enemy count = 3
Object[7866], Relative count = 1, Enemy count = 2
Object[7642], Relative count = 1, Enemy count = 2
Object[7732], Relative count = 1, Enemy count = 2
Object[2016], Relative count = 1, Enemy count = 8
Object[7767], Relative count = 1, Enemy count = 2
Object[2138], Relative count = 1, Enemy count = 11
Object[3932], Relative count = 1, Enemy count = 2
Object[7867], Relative count = 1, Enemy count = 3
Object[7687], Relative count = 1, Enemy count = 3
Object[7957], Relative count = 2, Enemy count = 3
Object[1111], Relative count = 1, Enemy count = 2
Object[7854], Relative count = 1, Enemy count = 2
Object[7667], Relative count = 1, Enemy count = 4
Object[8117], Relative count = 1, Enemy count = 2
Object[7681], Relative count = 1, Enemy count = 2
Object[7701], Relative count = 1, Enemy count = 4
Object[7688], Relative count = 1, Enemy count = 2
Object[7890], Relative count = 1, Enemy count = 2
Object[7637], Relative count = 1, Enemy count = 2
Object[7677], Relative count = 2, Enemy count = 4
Object[3894], Relative count = 1, Enemy count = 6
Object[7979], Relative count = 1, Enemy count = 3
Object[2011], Relative count = 1, Enemy count = 2
Object[6330], Relative count = 1, Enemy count = 3
Object[2019], Relative count = 1, Enemy count = 2
Object[3883], Relative count = 1, Enemy count = 3
Object[7772], Relative count = 1, Enemy count = 7
Object[3898], Relative count = 1, Enemy count = 4
Object[1334], Relative count = 1, Enemy count = 2
Object[7816], Relative count = 1, Enemy count = 3
Object[7911], Relative count = 1, Enemy count = 3
Object[2160], Relative count = 1, Enemy count = 2
Object[6624], Relative count = 1, Enemy count = 2
Object[7830], Relative count = 1, Enemy count = 2
Object[7690], Relative count = 1, Enemy count = 5
Object[7671], Relative count = 1, Enemy count = 2
Object[7760], Relative count = 1, Enemy count = 3
Object[8195], Relative count = 1, Enemy count = 2
Object[7775], Relative count = 1, Enemy count = 2
Object[8122], Relative count = 1, Enemy count = 4
Object[7648], Relative count = 1, Enemy count = 2
Object[7711], Relative count = 1, Enemy count = 4
Object[8230], Relative count = 1, Enemy count = 234

Object[24], Relative count = 1, Enemy count = 327
Object[4253], Relative count = 1, Enemy count = 18
Object[13570], Relative count = 1, Enemy count = 165
Object[3122], Relative count = 2, Enemy count = 37
Object[5495], Relative count = 3, Enemy count = 12
Object[13582], Relative count = 1, Enemy count = 28
Object[13160], Relative count = 1, Enemy count = 4
Object[3256], Relative count = 2, Enemy count = 40
Object[7490], Relative count = 1, Enemy count = 33
Object[11454], Relative count = 1, Enemy count = 342
Object[42], Relative count = 1, Enemy count = 95
6
Object[3059], Relative count = 1, Enemy count = 8
Object[23], Relative count = 1, Enemy count = 49
95
Object[7429], Relative count = 1, Enemy count = 89
Object[7447], Relative count = 1, Enemy count = 8

Object[3093], Relative count = 1, Enemy count = 19
Object[13530], Relative count = 1, Enemy count = 9

Object[2064], Relative count = 1, Enemy count = 25
Object[7436], Relative count = 1, Enemy count = 84
Object[7473], Relative count = 1, Enemy count = 22

Object[3166], Relative count = 1, Enemy count = 43
Object[7441], Relative count = 1, Enemy count = 148
Object[9795], Relative count = 1, Enemy count = 204
Object[13533], Relative count = 2, Enemy count = 6
Object[3261], Relative count = 1, Enemy count = 14
Object[13523], Relative count = 1, Enemy count = 19
Object[7432], Relative count = 1, Enemy count = 62
Object[3039], Relative count = 1, Enemy count = 4
Object[7444], Relative count = 1, Enemy count = 27
Object[13445], Relative count = 1, Enemy count = 7
Object[3976], Relative count = 1, Enemy count = 15
Object[7449], Relative count = 1, Enemy count = 114
Object[13464], Relative count = 1, Enemy count = 4
Object[7386], Relative count = 2, Enemy count = 15
Object[3921], Relative count = 1, Enemy count = 58
Object[3947], Relative count = 1, Enemy count = 38
Object[7448], Relative count = 1, Enemy count = 140
Object[2857], Relative count = 1, Enemy count = 27
Object[13579], Relative count = 2, Enemy count = 30
Object[13520], Relative count = 1, Enemy count = 14
Object[13589], Relative count = 1, Enemy count = 16
Object[5515], Relative count = 2, Enemy count = 4
Object[3943], Relative count = 1, Enemy count = 3

Object[11564], Relative count = 1, Enemy count = 8
Object[2044], Relative count = 1, Enemy count = 5
Object[13562], Relative count = 2, Enemy count = 5
Object[13481], Relative count = 1, Enemy count = 12
Object[7481], Relative count = 1, Enemy count = 35
Object[3158], Relative count = 2, Enemy count = 5
Object[11128], Relative count = 3, Enemy count = 6
Object[13575], Relative count = 1, Enemy count = 25
Object[7407], Relative count = 1, Enemy count = 146
Object[13571], Relative count = 1, Enemy count = 25
Object[13517], Relative count = 2, Enemy count = 5
Object[2089], Relative count = 1, Enemy count = 5
Object[7460], Relative count = 1, Enemy count = 27
Object[3106], Relative count = 2, Enemy count = 28
Object[13603], Relative count = 1, Enemy count = 24
Object[13500], Relative count = 1, Enemy count = 4
Object[13568], Relative count = 1, Enemy count = 21
Object[7435], Relative count = 1, Enemy count = 24
Object[7453], Relative count = 2, Enemy count = 7
Object[3872], Relative count = 1, Enemy count = 46
Object[5650], Relative count = 1, Enemy count = 46
Object[10064], Relative count = 1, Enemy count = 42
Object[9865], Relative count = 1, Enemy count = 125
Object[3065], Relative count = 1, Enemy count = 21
Object[13590], Relative count = 1, Enemy count = 2
Object[3904], Relative count = 1, Enemy count = 13
Object[8810], Relative count = 1, Enemy count = 7
Object[13596], Relative count = 1, Enemy count = 7
Object[7430], Relative count = 1, Enemy count = 10
Object[13588], Relative count = 1, Enemy count = 9
Object[3246], Relative count = 1, Enemy count = 41
Object[7439], Relative count = 1, Enemy count = 34
Object[13551], Relative count = 1, Enemy count = 7
Object[13493], Relative count = 1, Enemy count = 3
Object[13346], Relative count = 1, Enemy count = 8
Object[7438], Relative count = 1, Enemy count = 33
Object[7433], Relative count = 1, Enemy count = 72
Object[1555], Relative count = 1, Enemy count = 29
Object[5504], Relative count = 4, Enemy count = 6
Object[10049], Relative count = 1, Enemy count = 16
Object[5505], Relative count = 4, Enemy count = 6

Object[13544], Relative count = 1, Enemy count = 16
Object[7454], Relative count = 1, Enemy count = 93
Object[3172], Relative count = 1, Enemy count = 14
Object[10016], Relative count = 1, Enemy count = 2
Object[7480], Relative count = 1, Enemy count = 17
Object[1780], Relative count = 1, Enemy count = 8
Object[2179], Relative count = 1, Enemy count = 28
Object[3910], Relative count = 1, Enemy count = 3

Object[7417], Relative count = 1, Enemy count = 14
Object[13564], Relative count = 1, Enemy count = 22
Object[13489], Relative count = 1, Enemy count = 5
Object[3063], Relative count = 5, Enemy count = 9
Object[5498], Relative count = 23, Enemy count = 24
Object[3028], Relative count = 1, Enemy count = 19
Object[7459], Relative count = 1, Enemy count = 4
4
Object[7400], Relative count = 1, Enemy count = 56
Object[12665], Relative count = 1, Enemy count = 114
Object[7734], Relative count = 1, Enemy count = 6
Object[13521], Relative count = 2, Enemy count = 11
Object[38], Relative count = 1, Enemy count = 30
Object[10051], Relative count = 1, Enemy count = 11
Object[13548], Relative count = 1, Enemy count = 3
Object[5644], Relative count = 1, Enemy count = 19
Object[7917], Relative count = 1, Enemy count = 5
Object[13558], Relative count = 1, Enemy count = 7
Object[3072], Relative count = 1, Enemy count = 4
Object[13605], Relative count = 1, Enemy count = 2
Object[5556], Relative count = 1, Enemy count = 4
Object[4023], Relative count = 1, Enemy count = 19
Object[13498], Relative count = 1, Enemy count = 6
bject[13529], Relative count = 1, Enemy count = 18
Object[1472], Relative count = 2, Enemy count = 4
Object[7471], Relative count = 1, Enemy count = 40
Object[2813], Relative count = 1, Enemy count = 14
Object[7452], Relative count = 2, Enemy count = 9
Object[9141], Relative count = 1, Enemy count = 3
Object[9727], Relative count = 1, Enemy count = 11
Object[13556], Relative count = 1, Enemy count = 7
Object[7457], Relative count = 1, Enemy count = 7

Object[7440], Relative count = 1, Enemy count = 42
Object[13537], Relative count = 2, Enemy count = 3
Object[7446], Relative count = 1, Enemy count = 24
Object[3035], Relative count = 1, Enemy count = 21
Object[13607], Relative count = 1, Enemy count = 2
Object[12659], Relative count = 1, Enemy count = 2
Object[12415], Relative count = 2, Enemy count = 58
Object[5516], Relative count = 1, Enemy count = 18
Object[2621], Relative count = 1, Enemy count = 4
Object[13594], Relative count = 1, Enemy count = 12
Object[3885], Relative count = 1, Enemy count = 6
Object[5523], Relative count = 1, Enemy count = 38
Object[7450], Relative count = 2, Enemy count = 12
Object[9052], Relative count = 1, Enemy count = 4
Object[3307], Relative count = 1, Enemy count = 30
Object[7478], Relative count = 1, Enemy count = 6

Object[13573], Relative count = 1, Enemy count = 8
Object[12514], Relative count = 1, Enemy count = 6
Object[5506], Relative count = 1, Enemy count = 43
Object[13597], Relative count = 1, Enemy count = 12
Object[13453], Relative count = 1, Enemy count = 11
Object[7423], Relative count = 3, Enemy count = 4
Object[3873], Relative count = 1, Enemy count = 58
Object[5716], Relative count = 1, Enemy count = 30
Object[7445], Relative count = 1, Enemy count = 7
Object[5686], Relative count = 1, Enemy count = 13
Object[7500], Relative count = 1, Enemy count = 21
Object[13467], Relative count = 1, Enemy count = 3
Object[7431], Relative count = 1, Enemy count = 3

Object[7465], Relative count = 1, Enemy count = 15
Object[9492], Relative count = 1, Enemy count = 15
Object[8833], Relative count = 2, Enemy count = 4

Object[3936], Relative count = 1, Enemy count = 10
Object[7456], Relative count = 1, Enemy count = 8
Object[1758], Relative count = 1, Enemy count = 23
Object[3900], Relative count = 1, Enemy count = 2
Object[13585], Relative count = 1, Enemy count = 13
Object[13549], Relative count = 1, Enemy count = 5
Object[13524], Relative count = 1, Enemy count = 22
Object[10060], Relative count = 1, Enemy count = 2
Object[7512], Relative count = 1, Enemy count = 6
Object[79], Relative count = 1, Enemy count = 9
Object[5646], Relative count = 2, Enemy count = 5
Object[1791], Relative count = 1, Enemy count = 15
Object[7576], Relative count = 1, Enemy count = 45
Object[10045], Relative count = 1, Enemy count = 2
Object[10012], Relative count = 2, Enemy count = 42
Object[1798], Relative count = 1, Enemy count = 2
Object[13610], Relative count = 2, Enemy count = 9
Object[2035], Relative count = 1, Enemy count = 20
Object[12655], Relative count = 1, Enemy count = 5
Object[5502], Relative count = 1, Enemy count = 4
Object[7476], Relative count = 1, Enemy count = 8
Object[3891], Relative count = 1, Enemy count = 6
Object[7560], Relative count = 1, Enemy count = 16
Object[13502], Relative count = 2, Enemy count = 6
Object[2048], Relative count = 1, Enemy count = 21
Object[13390], Relative count = 1, Enemy count = 7
Object[1699], Relative count = 1, Enemy count = 8
Object[67], Relative count = 1, Enemy count = 16
Object[7462], Relative count = 1, Enemy count = 6
Object[13593], Relative count = 1, Enemy count = 2
Object[5573], Relative count = 1, Enemy count = 2
Object[2345], Relative count = 1, Enemy count = 7
Object[1630], Relative count = 1, Enemy count = 10
Object[13598], Relative count = 1, Enemy count = 2
Object[12873], Relative count = 1, Enemy count = 8
Object[1738], Relative count = 1, Enemy count = 3
Object[3299], Relative count = 1, Enemy count = 53
Object[12925], Relative count = 1, Enemy count = 3
Object[7506], Relative count = 2, Enemy count = 17
Object[5641], Relative count = 1, Enemy count = 5
Object[3927], Relative count = 1, Enemy count = 3
Object[13604], Relative count = 1, Enemy count = 12
Object[13519], Relative count = 2, Enemy count = 7
Object[7533], Relative count = 2, Enemy count = 3
Object[5510], Relative count = 1, Enemy count = 11
Object[13248], Relative count = 1, Enemy count = 26
Object[3184], Relative count = 1, Enemy count = 4
Object[13422], Relative count = 1, Enemy count = 13
Object[1844], Relative count = 1, Enemy count = 15
Object[13525], Relative count = 2, Enemy count = 6
Object[3314], Relative count = 1, Enemy count = 10
Object[9601], Relative count = 1, Enemy count = 5
Object[13553], Relative count = 1, Enemy count = 8
Object[7428], Relative count = 2, Enemy count = 7
Object[0], Relative count = 2, Enemy count = 9
Object[4132], Relative count = 2, Enemy count = 8
Object[1866], Relative count = 1, Enemy count = 7
Object[2040], Relative count = 1, Enemy count = 13
Object[13246], Relative count = 1, Enemy count = 41
Object[4462], Relative count = 1, Enemy count = 4
Object[12848], Relative count = 1, Enemy count = 2
Object[7493], Relative count = 1, Enemy count = 3
Object[13587], Relative count = 1, Enemy count = 9
Object[13586], Relative count = 2, Enemy count = 9
Object[1601], Relative count = 1, Enemy count = 6
Object[5627], Relative count = 1, Enemy count = 13
Object[7483], Relative count = 1, Enemy count = 13
Object[3971], Relative count = 2, Enemy count = 3
Object[7609], Relative count = 1, Enemy count = 2
Object[7530], Relative count = 1, Enemy count = 3
Object[1861], Relative count = 1, Enemy count = 3
Object[9433], Relative count = 1, Enemy count = 2
Object[13158], Relative count = 1, Enemy count = 21
Object[2080], Relative count = 1, Enemy count = 4
Object[13552], Relative count = 1, Enemy count = 12
Object[12969], Relative count = 1, Enemy count = 6
Object[7488], Relative count = 1, Enemy count = 6
Object[1456], Relative count = 1, Enemy count = 4
Object[4073], Relative count = 2, Enemy count = 4
Object[210], Relative count = 1, Enemy count = 3
Object[10037], Relative count = 1, Enemy count = 2
Object[8699], Relative count = 1, Enemy count = 2
Object[13089], Relative count = 1, Enemy count = 3
Object[8587], Relative count = 1, Enemy count = 3
Object[9254], Relative count = 1, Enemy count = 5
Object[13322], Relative count = 1, Enemy count = 10
Object[3254], Relative count = 2, Enemy count = 6
Object[9307], Relative count = 1, Enemy count = 15
Object[13116], Relative count = 1, Enemy count = 2
Object[9976], Relative count = 2, Enemy count = 4
Object[9242], Relative count = 1, Enemy count = 2
Object[7882], Relative count = 1, Enemy count = 15
Object[12943], Relative count = 2, Enemy count = 4
Object[5929], Relative count = 1, Enemy count = 4
Object[3270], Relative count = 2, Enemy count = 8
Object[1694], Relative count = 1, Enemy count = 2

Object[9695], Relative count = 1, Enemy count = 2
Object[12933], Relative count = 1, Enemy count = 6
Object[6035], Relative count = 1, Enemy count = 6

Object[2027], Relative count = 1, Enemy count = 3
Object[455], Relative count = 1, Enemy count = 3
Object[12505], Relative count = 1, Enemy count = 3
Object[7451], Relative count = 1, Enemy count = 9
Object[7531], Relative count = 2, Enemy count = 14
Object[9686], Relative count = 1, Enemy count = 4
0
Object[9831], Relative count = 1, Enemy count = 13
Object[9876], Relative count = 2, Enemy count = 5
Object[373], Relative count = 1, Enemy count = 2
Object[7411], Relative count = 1, Enemy count = 2
Object[9531], Relative count = 2, Enemy count = 3
Object[13301], Relative count = 1, Enemy count = 8
Object[9569], Relative count = 1, Enemy count = 3
Object[12948], Relative count = 1, Enemy count = 20
Object[3338], Relative count = 2, Enemy count = 5
Object[1838], Relative count = 1, Enemy count = 62
Object[7517], Relative count = 1, Enemy count = 7
Object[2021], Relative count = 1, Enemy count = 49
Object[1923], Relative count = 1, Enemy count = 36
Object[3330], Relative count = 1, Enemy count = 3
Object[1651], Relative count = 1, Enemy count = 4
Object[1625], Relative count = 3, Enemy count = 4
Object[13026], Relative count = 1, Enemy count = 2
Object[12469], Relative count = 1, Enemy count = 2
Object[2047], Relative count = 1, Enemy count = 2
Object[12570], Relative count = 1, Enemy count = 2
Object[13386], Relative count = 1, Enemy count = 2
Object[3871], Relative count = 1, Enemy count = 9
Object[13072], Relative count = 1, Enemy count = 10
Object[11473], Relative count = 1, Enemy count = 7
Object[13179], Relative count = 1, Enemy count = 3
Object[13576], Relative count = 1, Enemy count = 5
Object[5810], Relative count = 1, Enemy count = 2
Object[3874], Relative count = 1, Enemy count = 6
Object[12771], Relative count = 1, Enemy count = 25
Object[13075], Relative count = 2, Enemy count = 4
Object[3896], Relative count = 2, Enemy count = 3
Object[1782], Relative count = 1, Enemy count = 4
Object[3892], Relative count = 1, Enemy count = 2
Object[13528], Relative count = 1, Enemy count = 5
Object[3937], Relative count = 1, Enemy count = 2
Object[4275], Relative count = 1, Enemy count = 5
Object[7538], Relative count = 2, Enemy count = 3
Object[2029], Relative count = 1, Enemy count = 2
Object[13515], Relative count = 1, Enemy count = 10
Object[7548], Relative count = 1, Enemy count = 3
Object[469], Relative count = 1, Enemy count = 4
Object[4551], Relative count = 1, Enemy count = 12
Object[5518], Relative count = 1, Enemy count = 5
Object[5616], Relative count = 1, Enemy count = 10
Object[3888], Relative count = 1, Enemy count = 3
Object[13480], Relative count = 1, Enemy count = 2
Object[6967], Relative count = 1, Enemy count = 3
Object[401], Relative count = 1, Enemy count = 4
Object[1985], Relative count = 2, Enemy count = 21
Object[4497], Relative count = 1, Enemy count = 5
Object[13352], Relative count = 1, Enemy count = 4
Object[7643], Relative count = 1, Enemy count = 5
Object[7789], Relative count = 1, Enemy count = 7
Object[7527], Relative count = 1, Enemy count = 11
Object[13465], Relative count = 1, Enemy count = 11
Object[10009], Relative count = 1, Enemy count = 3
Object[8486], Relative count = 1, Enemy count = 13
Object[7495], Relative count = 2, Enemy count = 3
Object[9008], Relative count = 2, Enemy count = 21
Object[5774], Relative count = 2, Enemy count = 7
Object[9972], Relative count = 3, Enemy count = 9
Object[1984], Relative count = 3, Enemy count = 7
Object[13472], Relative count = 1, Enemy count = 4
Object[3331], Relative count = 1, Enemy count = 3
Object[3939], Relative count = 1, Enemy count = 4
Object[8604], Relative count = 1, Enemy count = 4

Object[1895], Relative count = 1, Enemy count = 7
Object[666], Relative count = 1, Enemy count = 13
Object[3999], Relative count = 2, Enemy count = 10
Object[432], Relative count = 1, Enemy count = 11
Object[4003], Relative count = 1, Enemy count = 12
Object[1896], Relative count = 1, Enemy count = 7
Object[2023], Relative count = 2, Enemy count = 5
Object[1919], Relative count = 1, Enemy count = 9

Object[6954], Relative count = 2, Enemy count = 5

Object[11601], Relative count = 1, Enemy count = 3
Object[7588], Relative count = 1, Enemy count = 9
Object[13321], Relative count = 1, Enemy count = 2
Object[2049], Relative count = 1, Enemy count = 49
Object[8691], Relative count = 3, Enemy count = 5
Object[3982], Relative count = 1, Enemy count = 13
Object[13229], Relative count = 1, Enemy count = 2
Object[3965], Relative count = 3, Enemy count = 5
Object[13261], Relative count = 1, Enemy count = 3
Object[5519], Relative count = 2, Enemy count = 3
Object[13415], Relative count = 1, Enemy count = 10
Object[13505], Relative count = 1, Enemy count = 2
Object[8886], Relative count = 1, Enemy count = 23
Object[13518], Relative count = 1, Enemy count = 3
Object[3876], Relative count = 1, Enemy count = 19
Object[8237], Relative count = 1, Enemy count = 12
Object[3889], Relative count = 1, Enemy count = 7
Object[7660], Relative count = 1, Enemy count = 6
Object[2161], Relative count = 1, Enemy count = 5

Object[3926], Relative count = 1, Enemy count = 22
Object[7520], Relative count = 1, Enemy count = 4
Object[7492], Relative count = 1, Enemy count = 3
Object[4461], Relative count = 1, Enemy count = 3
Object[7468], Relative count = 1, Enemy count = 7
Object[2646], Relative count = 1, Enemy count = 5
Object[2031], Relative count = 1, Enemy count = 5
Object[3962], Relative count = 1, Enemy count = 26
Object[13514], Relative count = 1, Enemy count = 2
Object[2191], Relative count = 1, Enemy count = 3
Object[2024], Relative count = 1, Enemy count = 2
Object[2395], Relative count = 1, Enemy count = 14
Object[13509], Relative count = 1, Enemy count = 2
Object[7486], Relative count = 1, Enemy count = 5
Object[13538], Relative count = 2, Enemy count = 5
Object[13512], Relative count = 1, Enemy count = 2
Object[197], Relative count = 1, Enemy count = 5
Object[10058], Relative count = 1, Enemy count = 2
Object[6982], Relative count = 2, Enemy count = 10
Object[2306], Relative count = 1, Enemy count = 5
Object[7133], Relative count = 1, Enemy count = 4

Object[2226], Relative count = 2, Enemy count = 3
Object[1904], Relative count = 1, Enemy count = 3
Object[1972], Relative count = 1, Enemy count = 32
Object[293], Relative count = 1, Enemy count = 2
Object[7529], Relative count = 1, Enemy count = 2
Object[10039], Relative count = 1, Enemy count = 2
Object[7546], Relative count = 1, Enemy count = 5
Object[2208], Relative count = 1, Enemy count = 4
Object[5566], Relative count = 1, Enemy count = 5
Object[7013], Relative count = 1, Enemy count = 4
Object[3995], Relative count = 5, Enemy count = 7
Object[13550], Relative count = 1, Enemy count = 2
Object[4245], Relative count = 1, Enemy count = 8
Object[8452], Relative count = 1, Enemy count = 2
Object[2334], Relative count = 1, Enemy count = 8
Object[7288], Relative count = 1, Enemy count = 11
Object[7244], Relative count = 1, Enemy count = 12
Object[6459], Relative count = 1, Enemy count = 3
Object[1922], Relative count = 3, Enemy count = 4
Object[5925], Relative count = 1, Enemy count = 4
Object[6128], Relative count = 1, Enemy count = 41
Object[8490], Relative count = 1, Enemy count = 3
Object[7211], Relative count = 1, Enemy count = 6
Object[12795], Relative count = 1, Enemy count = 3
Object[2339], Relative count = 4, Enemy count = 5
Object[7491], Relative count = 1, Enemy count = 3
Object[12318], Relative count = 1, Enemy count = 2OObject[7484], Relative count = 1, Enemy count = 10
Object[10063], Relative count = 1, Enemy count = 3
Object[2013], Relative count = 1, Enemy count = 3
Object[2262], Relative count = 2, Enemy count = 4
Object[2448], Relative count = 1, Enemy count = 16
Object[8154], Relative count = 1, Enemy count = 4
Object[4055], Relative count = 1, Enemy count = 8
Object[4199], Relative count = 1, Enemy count = 21
Object[13599], Relative count = 1, Enemy count = 3
Object[4320], Relative count = 1, Enemy count = 8
Object[6822], Relative count = 1, Enemy count = 6
Object[7494], Relative count = 2, Enemy count = 8
Object[8056], Relative count = 1, Enemy count = 4
Object[2219], Relative count = 1, Enemy count = 2
Object[13488], Relative count = 1, Enemy count = 5
Object[12649], Relative count = 1, Enemy count = 2
Object[2018], Relative count = 2, Enemy count = 5
Object[7536], Relative count = 1, Enemy count = 6
Object[4139], Relative count = 1, Enemy count = 46
Object[2542], Relative count = 1, Enemy count = 5
Object[2438], Relative count = 1, Enemy count = 5
Object[4009], Relative count = 1, Enemy count = 2
Object[2363], Relative count = 1, Enemy count = 2
Object[4137], Relative count = 1, Enemy count = 6
Object[12945], Relative count = 1, Enemy count = 2
Object[4394], Relative count = 2, Enemy count = 23
Object[4142], Relative count = 2, Enemy count = 5
Object[4147], Relative count = 4, Enemy count = 5
Object[7414], Relative count = 1, Enemy count = 34
Object[4300], Relative count = 1, Enemy count = 3
Object[7374], Relative count = 1, Enemy count = 5
Object[9957], Relative count = 1, Enemy count = 3
Object[12940], Relative count = 1, Enemy count = 6
Object[13600], Relative count = 1, Enemy count = 2
Object[4653], Relative count = 1, Enemy count = 6

Object[1914], Relative count = 1, Enemy count = 4
Object[4608], Relative count = 1, Enemy count = 23
Object[4505], Relative count = 1, Enemy count = 3
Object[4658], Relative count = 1, Enemy count = 11
Object[2610], Relative count = 3, Enemy count = 6
Object[306], Relative count = 1, Enemy count = 2
Object[4662], Relative count = 4, Enemy count = 6
Object[4932], Relative count = 1, Enemy count = 11
Object[2546], Relative count = 2, Enemy count = 3
Object[4198], Relative count = 1, Enemy count = 3
Object[7519], Relative count = 2, Enemy count = 3
Object[4583], Relative count = 2, Enemy count = 6
Object[5540], Relative count = 1, Enemy count = 6
Object[12970], Relative count = 1, Enemy count = 2
Object[12911], Relative count = 1, Enemy count = 3
Object[7076], Relative count = 1, Enemy count = 2
Object[12938], Relative count = 1, Enemy count = 2
Object[4882], Relative count = 2, Enemy count = 62
Object[13379], Relative count = 2, Enemy count = 3
Object[5823], Relative count = 1, Enemy count = 5
Object[645], Relative count = 1, Enemy count = 2
Object[8280], Relative count = 1, Enemy count = 2
Object[7331], Relative count = 1, Enemy count = 13
Object[13156], Relative count = 1, Enemy count = 5
Object[5856], Relative count = 1, Enemy count = 9
Object[2308], Relative count = 1, Enemy count = 2
Object[7359], Relative count = 1, Enemy count = 29
Object[13592], Relative count = 1, Enemy count = 3
Object[4905], Relative count = 2, Enemy count = 53
