===== FindStandartObjects Started at 11/16/2021 6:10:34 PM
{ ObjectIndex = 12989, Radius = 0.0408391720820946 }
{ ObjectIndex = 4180, Radius = 0.153443084137648 }
{ ObjectIndex = 5248, Radius = 0.154057651300926 }
{ ObjectIndex = 4363, Radius = 0.154599535792224 }
{ ObjectIndex = 4675, Radius = 0.162280741081865 }
{ ObjectIndex = 4750, Radius = 0.163721569912039 }
{ ObjectIndex = 4197, Radius = 0.164342905843456 }
{ ObjectIndex = 4283, Radius = 0.164500827241214 }
{ ObjectIndex = 4736, Radius = 0.165629991517785 }
{ ObjectIndex = 4158, Radius = 0.168055635143394 }
{ ObjectIndex = 5055, Radius = 0.170061091673697 }
{ ObjectIndex = 4854, Radius = 0.171011948536357 }
{ ObjectIndex = 3954, Radius = 0.171600660427267 }
{ ObjectIndex = 5027, Radius = 0.172984152101678 }
{ ObjectIndex = 4051, Radius = 0.17315096333742 }
{ ObjectIndex = 4696, Radius = 0.173919463820894 }
{ ObjectIndex = 3986, Radius = 0.176277642103145 }
{ ObjectIndex = 4733, Radius = 0.177857773161407 }
{ ObjectIndex = 4359, Radius = 0.178017467874175 }
{ ObjectIndex = 5293, Radius = 0.180029949228133 }
{ ObjectIndex = 4614, Radius = 0.18290761273257 }
{ ObjectIndex = 4062, Radius = 0.183185150393621 }
{ ObjectIndex = 4284, Radius = 0.184671265280205 }
{ ObjectIndex = 5277, Radius = 0.184932034852242 }
{ ObjectIndex = 4641, Radius = 0.186283079731872 }
{ ObjectIndex = 4770, Radius = 0.187816357063929 }
{ ObjectIndex = 4526, Radius = 0.189276755616218 }
{ ObjectIndex = 5052, Radius = 0.190356024901062 }
{ ObjectIndex = 5470, Radius = 0.19046008885258 }
{ ObjectIndex = 4597, Radius = 0.192569129660472 }
{ ObjectIndex = 4568, Radius = 0.197261156075625 }
{ ObjectIndex = 4307, Radius = 0.201670126929349 }
{ ObjectIndex = 5003, Radius = 0.203548618921072 }
{ ObjectIndex = 4684, Radius = 0.207629702581332 }
{ ObjectIndex = 5370, Radius = 0.209316229175844 }
{ ObjectIndex = 4444, Radius = 0.214448295799538 }
{ ObjectIndex = 5259, Radius = 0.216086254265165 }
{ ObjectIndex = 4878, Radius = 0.220677894413539 }
{ ObjectIndex = 4982, Radius = 0.222703020956252 }
{ ObjectIndex = 5338, Radius = 0.232495834849117 }
{ ObjectIndex = 4618, Radius = 0.240502403961836 }
{ ObjectIndex = 5189, Radius = 0.243178800392592 }
{ ObjectIndex = 5496, Radius = 0.262879430133872 }
{ ObjectIndex = 5386, Radius = 0.266049587971744 }
{ ObjectIndex = 5459, Radius = 0.2814879360816 }
{ ObjectIndex = 5023, Radius = 0.323750263795888 }
{ ObjectIndex = 2484, Radius = 0.0699054304114475 }
{ ObjectIndex = 2218, Radius = 0.0778977462022536 }
{ ObjectIndex = 2350, Radius = 0.0845408952100878 }
{ ObjectIndex = 2078, Radius = 0.088147156585981 }
{ ObjectIndex = 2244, Radius = 0.0913081612410872 }
{ ObjectIndex = 2203, Radius = 0.0954363465711834 }
{ ObjectIndex = 2413, Radius = 0.0975109094881654 }
{ ObjectIndex = 3292, Radius = 0.101650936976322 }
{ ObjectIndex = 2153, Radius = 0.105427343649413 }
{ ObjectIndex = 2921, Radius = 0.106050260344039 }
{ ObjectIndex = 2273, Radius = 0.106762243127607 }
{ ObjectIndex = 2164, Radius = 0.108923272132112 }
{ ObjectIndex = 2467, Radius = 0.112397409707111 }
{ ObjectIndex = 2706, Radius = 0.114889390270612 }
{ ObjectIndex = 2573, Radius = 0.120010639826383 }
{ ObjectIndex = 2319, Radius = 0.123682745592233 }
{ ObjectIndex = 2714, Radius = 0.128594982684296 }
{ ObjectIndex = 2316, Radius = 0.134379237459999 }
{ ObjectIndex = 2100, Radius = 0.134507930587974 }
{ ObjectIndex = 2539, Radius = 0.136485410112728 }
{ ObjectIndex = 2389, Radius = 0.143124827047309 }
{ ObjectIndex = 2056, Radius = 0.145567069278108 }
{ ObjectIndex = 2963, Radius = 0.148600690068791 }
{ ObjectIndex = 2224, Radius = 0.150759497777855 }
{ ObjectIndex = 2388, Radius = 0.167474227851386 }
{ ObjectIndex = 2932, Radius = 0.174381532593316 }
{ ObjectIndex = 2556, Radius = 0.176248984662723 }
{ ObjectIndex = 3123, Radius = 0.184540910208482 }
{ ObjectIndex = 2587, Radius = 0.187940681272579 }
{ ObjectIndex = 2914, Radius = 0.190241789632541 }
{ ObjectIndex = 3090, Radius = 0.195611622328104 }
{ ObjectIndex = 2110, Radius = 0.195617788124931 }
{ ObjectIndex = 3015, Radius = 0.199221440078718 }
{ ObjectIndex = 2210, Radius = 0.202351027416402 }
{ ObjectIndex = 2249, Radius = 0.20305340411598 }
{ ObjectIndex = 2247, Radius = 0.203783424987014 }
{ ObjectIndex = 3282, Radius = 0.205693899486475 }
{ ObjectIndex = 3284, Radius = 0.212608147251865 }
{ ObjectIndex = 2086, Radius = 0.213287346023748 }
{ ObjectIndex = 2972, Radius = 0.213725702844766 }
{ ObjectIndex = 2063, Radius = 0.215324756000159 }
{ ObjectIndex = 2468, Radius = 0.227796418481969 }
{ ObjectIndex = 2335, Radius = 0.231036402788795 }
{ ObjectIndex = 2071, Radius = 0.231215555951996 }
{ ObjectIndex = 3020, Radius = 0.234194202027665 }
{ ObjectIndex = 2768, Radius = 0.237026236973764 }
{ ObjectIndex = 2374, Radius = 0.243502670313531 }
{ ObjectIndex = 2313, Radius = 0.26401543024879 }
{ ObjectIndex = 3300, Radius = 0.285868299573693 }
{ ObjectIndex = 2360, Radius = 0.290288555465689 }
{ ObjectIndex = 2432, Radius = 0.303361805552876 }
{ ObjectIndex = 2949, Radius = 0.316616869340122 }
{ ObjectIndex = 2690, Radius = 0.326959451256507 }
{ ObjectIndex = 2514, Radius = 0.341028906494892 }
{ ObjectIndex = 2532, Radius = 0.359508511384348 }
{ ObjectIndex = 3067, Radius = 0.480194782459981 }
{ ObjectIndex = 3458, Radius = 0.608065869653733 }
{ ObjectIndex = 3511, Radius = 0.640645779452124 }
{ ObjectIndex = 3604, Radius = 0.658872900546539 }
{ ObjectIndex = 3664, Radius = 0.744854422859996 }
{ ObjectIndex = 1584, Radius = 0.06048631418335 }
{ ObjectIndex = 1598, Radius = 0.0698913055347624 }
{ ObjectIndex = 1597, Radius = 0.066820535384053 }
{ ObjectIndex = 5509, Radius = 0.0951393057804249 }
{ ObjectIndex = 7612, Radius = 0.0401514682763265 }
{ ObjectIndex = 7487, Radius = 0.0509359306525228 }
{ ObjectIndex = 7505, Radius = 0.0492658641136574 }
{ ObjectIndex = 13438, Radius = 0.0568969538397996 }
{ ObjectIndex = 271, Radius = 0.665433998384472 }
{ ObjectIndex = 430, Radius = 0.0617850697625388 }
{ ObjectIndex = 797, Radius = 0.0445868131526459 }
{ ObjectIndex = 1325, Radius = 0.0463618001049324 }
{ ObjectIndex = 1507, Radius = 0.106955176667654 }
{ ObjectIndex = 1762, Radius = 0.0704123224264664 }
{ ObjectIndex = 1941, Radius = 0.0750275443679755 }
{ ObjectIndex = 1910, Radius = 0.0530949762529276 }
{ ObjectIndex = 2045, Radius = 0.145980967201976 }
{ ObjectIndex = 2001, Radius = 0.080878239142189 }
{ ObjectIndex = 2017, Radius = 0.0672067914574542 }
{ ObjectIndex = 2239, Radius = 0.249679562416681 }
{ ObjectIndex = 2193, Radius = 0.117712642031279 }
{ ObjectIndex = 2913, Radius = 0.125516722112514 }
{ ObjectIndex = 2716, Radius = 0.125378858773206 }
{ ObjectIndex = 2973, Radius = 0.0962110459395704 }
{ ObjectIndex = 3335, Radius = 0.197206559202789 }
{ ObjectIndex = 3887, Radius = 0.10532985357252 }
{ ObjectIndex = 3890, Radius = 0.0716846102966764 }
{ ObjectIndex = 4557, Radius = 0.0877902144027048 }
{ ObjectIndex = 5727, Radius = 0.117658773629021 }
{ ObjectIndex = 6947, Radius = 0.08906892840811 }
{ ObjectIndex = 6986, Radius = 0.126167014018125 }
{ ObjectIndex = 7605, Radius = 0.0430490763873906 }
{ ObjectIndex = 7608, Radius = 0.0550548954387657 }
{ ObjectIndex = 7619, Radius = 0.0368662670580189 }
{ ObjectIndex = 7622, Radius = 0.0411313456708682 }
{ ObjectIndex = 7659, Radius = 0.035706630560811 }
{ ObjectIndex = 7694, Radius = 0.0568969538397996 }
{ ObjectIndex = 7920, Radius = 0.0444466738460846 }
{ ObjectIndex = 7475, Radius = 0.0549494223165573 }
{ ObjectIndex = 7735, Radius = 0.0576311951249632 }
{ ObjectIndex = 7508, Radius = 0.0469993444926568 }
{ ObjectIndex = 7518, Radius = 0.0335824276477891 }
{ ObjectIndex = 7555, Radius = 0.0642607964858226 }
{ ObjectIndex = 7556, Radius = 0.07929167549015 }
{ ObjectIndex = 7568, Radius = 0.0449722906987006 }
{ ObjectIndex = 7570, Radius = 0.0613556624677311 }
{ ObjectIndex = 7577, Radius = 0.0375607309994689 }
{ ObjectIndex = 7753, Radius = 0.0579549024202255 }
{ ObjectIndex = 8468, Radius = 0.0702835516955105 }
{ ObjectIndex = 7805, Radius = 0.0440576551028503 }
{ ObjectIndex = 12623, Radius = 0.0826408092634515 }
{ ObjectIndex = 13554, Radius = 0.0587436847295192 }
{ ObjectIndex = 13318, Radius = 0.0410800063714546 }
{ ObjectIndex = 13325, Radius = 0.0512040798880845 }
{ ObjectIndex = 13327, Radius = 0.0388691389170846 }
{ ObjectIndex = 13577, Radius = 0.049547110976173 }
{ ObjectIndex = 13591, Radius = 0.048319830866225 }
{ ObjectIndex = 13363, Radius = 0.051679168599544 }
{ ObjectIndex = 13217, Radius = 0.0368662670580189 }
{ ObjectIndex = 13380, Radius = 0.0642316421698253 }
{ ObjectIndex = 13258, Radius = 0.081233018987552 }
{ ObjectIndex = 13429, Radius = 0.0447135690295009 }
{ ObjectIndex = 13456, Radius = 0.0491373113819833 }
{ ObjectIndex = 13501, Radius = 0.0578125633916225 }
===== FindStandartObjects Ended at 11/16/2021 7:02:28 PM
